symbol,signal_date,entry_date,entry,stop,target,shares,partial_date,partial_exit,exit_date,exit,reason,bars_held,R,pnl,setup,adr_pct,rr_planned,chase_adr,resolution
TTD,2022-08-25,2022-08-25,66.26,63.71,76.75,395,,,2022-08-26,63.68,stop,1,-1.01,-1020.66,unr_ema8,5.47,5.35,0.15,exact
PLUG,2022-08-24,2022-08-24,27.53,26.14,31.11,709,,,2022-08-31,28.03,trail_ema,5,0.35,348.98,unr_ema8,6.71,3.69,0.19,exact
RIVN,2022-10-31,2022-10-31,34.99,33.86,37.39,875,,,2022-11-01,33.85,stop,1,-1.02,-998.99,unr_pdl,6.83,13.87,0.41,exact
CELH,2022-10-31,2022-10-31,30.38,29.5,31.41,1129,,,2022-11-02,29.49,stop,2,-1.02,-1000.9,unr_ema8,6.83,6.99,0.32,exact
MSTR,2022-11-07,2022-11-07,26.68,25.9,29.0,1248,,,2022-11-08,24.79,stop_gap,1,-2.44,-2358.39,unr_ema8,8.15,12.93,0.28,exact
SHOP,2022-11-08,2022-11-08,32.82,31.56,36.4,750,,,2022-11-09,31.55,stop,1,-1.01,-952.52,unr_ema8,6.6,3.44,0.08,exact
TCOM,2022-11-08,2022-11-08,27.05,26.14,27.58,1031,,,2022-11-09,25.83,stop_gap,1,-1.34,-1258.48,unr_pdl,5.4,1.08,0.17,exact
TOST,2022-11-15,2022-11-15,20.46,19.49,23.0,1045,,,2022-11-16,19.48,stop,1,-1.01,-1026.72,unr_ema8,7.45,5.14,0.27,exact
DASH,2022-11-18,2022-11-18,58.32,56.59,65.49,576,,,2022-11-21,56.56,stop,1,-1.02,-1012.54,unr_pdl,7.24,5.01,0.06,exact
TCOM,2022-11-18,2022-11-18,28.23,27.74,28.44,287,,,2022-11-21,27.1,stop_gap,1,-2.3,-322.11,unr_ema8,5.27,1.74,0.16,exact
AMD,2022-11-21,2022-11-21,72.5,71.4,79.16,552,,,2022-11-28,73.15,trail_ema,4,0.6,362.76,unr_pdl,5.27,8.98,0.08,exact
FSLR,2022-11-14,2022-11-14,153.71,147.36,161.64,153,,,2022-11-29,161.73,trail_ema,10,1.26,1227.41,unr_pdl,5.7,4.25,0.46,exact
RUN,2022-11-21,2022-11-21,30.48,28.84,31.32,13,,,2022-11-29,30.72,trail_ema,5,0.15,3.24,unr_pdl,8.64,2.5,0.43,exact
