symbol,signal_date,entry_date,entry,stop,target,shares,partial_date,partial_exit,exit_date,exit,reason,bars_held,R,pnl,setup,adr_pct,rr_planned,chase_adr,resolution
MARA,2021-11-12,2021-11-12,75.96,67.22,83.45,1,,,2021-11-15,67.18,stop,1,-1.0,-8.78,unr_ema8,9.74,8.91,1.25,exact
RUN,2021-11-11,2021-11-11,58.15,53.26,59.87,352,,,2021-11-16,55.95,trail_ema,3,-0.45,-773.36,unr_ema8,5.63,1.04,0.54,exact
FCEL,2021-11-05,2021-11-05,268.63,259.31,267.9,177,,,2021-11-17,307.05,trail_ema,8,4.12,6798.95,unr_ema8,9.51,1.02,0.23,exact
HUT,2021-11-16,2021-11-16,69.53,66.58,82.85,280,,,2021-11-17,66.54,stop,1,-1.01,-837.7,unr_ema21,9.85,8.56,0.19,exact
PLUG,2021-11-10,2021-11-10,40.2,37.78,42.95,684,,,2021-11-18,40.4,trail_ema,6,0.08,136.59,unr_pdl,6.38,3.45,0.55,exact
XPEV,2021-11-11,2021-11-11,47.6,44.89,49.49,636,,,2021-11-18,47.25,trail_ema,5,-0.13,-227.32,unr_ema8,5.36,2.71,0.61,exact
AMC,2021-11-11,2021-11-11,394.8,373.73,387.8,7,,,2021-11-18,403.9,trail_ema,5,0.43,63.7,unr_pdl,6.66,1.08,0.55,exact
XPEV,2021-11-18,2021-11-18,47.29,45.75,49.49,1077,,,2021-11-19,46.87,trail_ema,1,-0.28,-459.97,unr_ema21,5.52,11.17,0.48,exact
IONQ,2021-11-12,2021-11-12,20.16,18.34,23.14,3,,,2021-11-22,23.17,trail_ema,6,1.65,9.03,unr_ema8,13.35,10.71,0.75,exact
NET,2021-11-16,2021-11-16,212.28,204.12,218.0,1,,,2021-11-22,204.02,stop,4,-1.01,-8.26,unr_pdl,5.51,20.78,0.72,exact
RIOT,2021-11-19,2021-11-19,36.2,33.7,46.28,669,,,2021-11-22,33.68,stop,1,-1.01,-1685.0,unr_ema21,9.64,14.28,0.52,exact
FCEL,2021-11-19,2021-11-19,294.45,282.44,299.7,125,,,2021-11-22,282.3,stop,1,-1.01,-1518.42,unr_ema21,10.09,5.28,0.34,exact
GME,2021-11-15,2021-11-15,52.31,50.25,63.92,6,,,2021-11-23,53.45,trail_ema,6,0.55,6.82,unr_ema8,7.18,11.53,0.27,exact
PLUG,2021-11-19,2021-11-19,44.57,41.3,42.95,512,,,2021-11-23,41.28,stop,2,-1.01,-1684.51,unr_ema8,7.1,1.0,0.88,exact
AMC,2021-11-19,2021-11-19,408.9,395.36,417.8,1,,,2021-11-23,395.16,stop,2,-1.01,-13.74,unr_pdl,6.46,8.19,0.44,exact
TSLA,2021-11-17,2021-11-17,363.18,350.82,414.5,134,,,2021-11-26,360.46,trail_ema,6,-0.22,-365.17,unr_ema8,5.89,8.68,0.28,exact
RIOT,2021-11-23,2021-11-23,36.15,33.19,46.28,539,,,2021-11-26,34.9,trail_ema,2,-0.42,-671.34,unr_ema8,10.24,3.81,0.06,exact
TTD,2021-11-22,2021-11-22,103.32,98.43,114.09,334,,,2021-11-30,103.37,trail_ema,5,0.01,15.58,unr_ema8,6.3,3.04,0.17,exact
IONQ,2021-11-29,2021-11-29,24.09,22.24,35.9,800,,,2021-11-30,23.81,trail_ema,1,-0.15,-227.16,unr_pdl,16.79,7.97,0.09,exact
PLUG,2021-11-29,2021-11-29,41.64,39.31,42.95,1,,,2021-11-30,39.29,stop,1,-1.01,-2.35,unr_pdl,7.31,13.18,0.7,exact
ENVX,2021-11-15,2021-11-15,32.63,31.29,34.8,883,,,2021-12-01,33.03,trail_ema,11,0.3,359.53,unr_pdl,9.2,9.2,0.4,exact
LCID,2021-11-23,2021-11-23,524.66,492.53,577.5,49,,,2021-12-01,511.14,trail_ema,5,-0.42,-662.38,unr_pdl,13.49,9.28,0.44,exact
